label,category,full_question,percentage_likely
Less family worry,Benefit,Young people would feel less worried about caring for their aging relatives,69.5
Society saves money,Benefit,Society would save money on caring for older adults,51.4
Robot as human friend,Ambivalent,Many older adults would treat their robot caregiver like a human friend,56.2
More isolated,Concern,Older adults would feel more isolated than they do today,63.6
More independent,Benefit,Older adults would feel more independent and self sufficient,59.3
Only for those unable to afford human care,Concern,These robots would only be used by people who could not afford a human caregiver,42.4
