stage,percentage,description
Heard at least a little,34.9,"Respondents who had heard, read, or thought about robot caregivers before the survey."
See it as realistic,59.2,Respondents who thought the robot caregiver concept seemed at least somewhat realistic.
Feel enthusiastic,44.0,Respondents who felt at least somewhat enthusiastic about robot caregivers.
Would use it,41.0,Respondents who would be interested in a robot caregiver for themselves or a family member.
